"Patient","No benefits","Responder","TIDE","IFNG","MSI Expr Sig","Merck18","CD274","CD8","CTL.flag","Dysfunction","Exclusion","MDSC","CAF","TAM M2"
"TCGA-86-6851-01","False","False","2.88","2.25","0.24","1.63","0.75","1.32","True","2.88","-3.94","-0.15","-0.14","-0.08"
"TCGA-86-A4P8-01","False","False","2.84","0.45","0.67","0.94","0.76","1.38","True","2.84","-3.63","-0.27","-0.03","-0.04"
"TCGA-44-8120-01","True","False","2.82","-1.14","0.30","-0.47","-0.46","-0.67","False","-0.29","2.82","0.02","0.17","0.07"
"TCGA-44-A47G-01","False","False","2.82","0.96","0.51","0.97","1.33","1.11","True","2.82","-2.29","-0.15","0.03","-0.08"
"TCGA-86-8075-01","False","False","2.81","0.26","0.20","0.05","0.70","-1.26","False","-0.19","2.81","0.05","0.27","-0.06"
"TCGA-86-8054-01","True","False","2.78","-1.61","0.63","-1.31","-0.97","-0.99","False","-3.16","2.78","0.19","-0.00","0.06"
"TCGA-J2-A4AD-01","True","False","2.77","-2.23","0.54","-1.42","-0.92","-1.19","False","-2.26","2.77","0.14","0.07","0.06"
"TCGA-91-6847-01","False","False","2.76","-0.96","0.27","-1.46","-0.57","-0.95","False","-3.38","2.76","0.24","-0.04","0.05"
"TCGA-93-A4JQ-01","False","False","2.76","1.20","0.32","0.84","1.29","0.22","True","2.76","1.11","0.03","0.11","-0.03"
"TCGA-86-A4P7-01","False","False","2.72","-0.54","0.42","0.25","-0.13","0.81","True","2.72","-1.60","-0.12","-0.02","-0.01"
"TCGA-86-8074-01","False","False","2.69","0.91","0.39","0.33","0.32","-0.51","False","-1.42","2.69","0.09","0.20","-0.04"
"TCGA-55-8505-01","True","False","2.69","-1.98","0.53","-1.30","-1.70","-1.67","False","-0.35","2.69","0.11","0.14","0.00"
"TCGA-97-7552-01","False","False","2.67","1.68","0.74","1.54","0.48","2.27","True","2.67","-3.63","-0.19","-0.10","-0.04"
"TCGA-44-8119-01","False","False","2.65","0.17","0.38","0.16","-0.30","-0.16","False","-0.02","2.65","0.12","0.15","-0.03"
"TCGA-91-A4BC-01","False","False","2.57","0.82","0.10","0.97","-0.59","2.91","True","2.57","-0.44","0.00","0.02","-0.04"
